id,image_path,label,label_id,is_labeled,dataset,split,source_index,filename
1,data/images/stl10/train/bird/bird_000001.jpg,bird,1,True,STL10,train,0,bird_000001.jpg
2,data/images/stl10/train/dog/dog_000002.jpg,dog,5,True,STL10,train,1,dog_000002.jpg
3,data/images/stl10/train/bird/bird_000003.jpg,bird,1,True,STL10,train,2,bird_000003.jpg
4,data/images/stl10/train/horse/horse_000004.jpg,horse,6,True,STL10,train,3,horse_000004.jpg
5,data/images/stl10/train/cat/cat_000005.jpg,cat,3,True,STL10,train,4,cat_000005.jpg
6,data/images/stl10/train/truck/truck_000006.jpg,truck,9,True,STL10,train,5,truck_000006.jpg
7,data/images/stl10/train/monkey/monkey_000007.jpg,monkey,7,True,STL10,train,6,monkey_000007.jpg
8,data/images/stl10/train/deer/deer_000008.jpg,deer,4,True,STL10,train,7,deer_000008.jpg
9,data/images/stl10/train/dog/dog_000009.jpg,dog,5,True,STL10,train,8,dog_000009.jpg
10,data/images/stl10/train/ship/ship_000010.jpg,ship,8,True,STL10,train,9,ship_000010.jpg
11,data/images/stl10/train/airplane/airplane_000011.jpg,airplane,0,True,STL10,train,10,airplane_000011.jpg
12,data/images/stl10/train/horse/horse_000012.jpg,horse,6,True,STL10,train,11,horse_000012.jpg
13,data/images/stl10/train/airplane/airplane_000013.jpg,airplane,0,True,STL10,train,12,airplane_000013.jpg
14,data/images/stl10/train/ship/ship_000014.jpg,ship,8,True,STL10,train,13,ship_000014.jpg
15,data/images/stl10/train/monkey/monkey_000015.jpg,monkey,7,True,STL10,train,14,monkey_000015.jpg
16,data/images/stl10/train/horse/horse_000016.jpg,horse,6,True,STL10,train,15,horse_000016.jpg
17,data/images/stl10/train/deer/deer_000017.jpg,deer,4,True,STL10,train,16,deer_000017.jpg
19,data/images/stl10/train/car/car_000019.jpg,car,2,True,STL10,train,18,car_000019.jpg
20,data/images/stl10/train/car/car_000020.jpg,car,2,True,STL10,train,19,car_000020.jpg
21,data/images/stl10/train/bird/bird_000021.jpg,bird,1,True,STL10,train,20,bird_000021.jpg
24,data/images/stl10/train/car/car_000024.jpg,car,2,True,STL10,train,23,car_000024.jpg
26,data/images/stl10/train/ship/ship_000026.jpg,ship,8,True,STL10,train,25,ship_000026.jpg
27,data/images/stl10/train/dog/dog_000027.jpg,dog,5,True,STL10,train,26,dog_000027.jpg
31,data/images/stl10/train/airplane/airplane_000031.jpg,airplane,0,True,STL10,train,30,airplane_000031.jpg
35,data/images/stl10/train/cat/cat_000035.jpg,cat,3,True,STL10,train,34,cat_000035.jpg
37,data/images/stl10/train/monkey/monkey_000037.jpg,monkey,7,True,STL10,train,36,monkey_000037.jpg
40,data/images/stl10/train/cat/cat_000040.jpg,cat,3,True,STL10,train,39,cat_000040.jpg
46,data/images/stl10/train/deer/deer_000046.jpg,deer,4,True,STL10,train,45,deer_000046.jpg
62,data/images/stl10/train/truck/truck_000062.jpg,truck,9,True,STL10,train,61,truck_000062.jpg
63,data/images/stl10/train/truck/truck_000063.jpg,truck,9,True,STL10,train,62,truck_000063.jpg
5001,data/images/stl10/test/horse/horse_000001.jpg,horse,6,True,STL10,test,0,horse_000001.jpg
5002,data/images/stl10/test/monkey/monkey_000002.jpg,monkey,7,True,STL10,test,1,monkey_000002.jpg
5003,data/images/stl10/test/dog/dog_000003.jpg,dog,5,True,STL10,test,2,dog_000003.jpg
5004,data/images/stl10/test/airplane/airplane_000004.jpg,airplane,0,True,STL10,test,3,airplane_000004.jpg
5005,data/images/stl10/test/cat/cat_000005.jpg,cat,3,True,STL10,test,4,cat_000005.jpg
5006,data/images/stl10/test/bird/bird_000006.jpg,bird,1,True,STL10,test,5,bird_000006.jpg
5007,data/images/stl10/test/bird/bird_000007.jpg,bird,1,True,STL10,test,6,bird_000007.jpg
5008,data/images/stl10/test/bird/bird_000008.jpg,bird,1,True,STL10,test,7,bird_000008.jpg
5009,data/images/stl10/test/deer/deer_000009.jpg,deer,4,True,STL10,test,8,deer_000009.jpg
5010,data/images/stl10/test/deer/deer_000010.jpg,deer,4,True,STL10,test,9,deer_000010.jpg
5011,data/images/stl10/test/airplane/airplane_000011.jpg,airplane,0,True,STL10,test,10,airplane_000011.jpg
5012,data/images/stl10/test/airplane/airplane_000012.jpg,airplane,0,True,STL10,test,11,airplane_000012.jpg
5013,data/images/stl10/test/deer/deer_000013.jpg,deer,4,True,STL10,test,12,deer_000013.jpg
5016,data/images/stl10/test/dog/dog_000016.jpg,dog,5,True,STL10,test,15,dog_000016.jpg
5018,data/images/stl10/test/truck/truck_000018.jpg,truck,9,True,STL10,test,17,truck_000018.jpg
5020,data/images/stl10/test/horse/horse_000020.jpg,horse,6,True,STL10,test,19,horse_000020.jpg
5021,data/images/stl10/test/dog/dog_000021.jpg,dog,5,True,STL10,test,20,dog_000021.jpg
5022,data/images/stl10/test/cat/cat_000022.jpg,cat,3,True,STL10,test,21,cat_000022.jpg
5024,data/images/stl10/test/cat/cat_000024.jpg,cat,3,True,STL10,test,23,cat_000024.jpg
5025,data/images/stl10/test/car/car_000025.jpg,car,2,True,STL10,test,24,car_000025.jpg
5026,data/images/stl10/test/horse/horse_000026.jpg,horse,6,True,STL10,test,25,horse_000026.jpg
5029,data/images/stl10/test/car/car_000029.jpg,car,2,True,STL10,test,28,car_000029.jpg
5030,data/images/stl10/test/monkey/monkey_000030.jpg,monkey,7,True,STL10,test,29,monkey_000030.jpg
5034,data/images/stl10/test/monkey/monkey_000034.jpg,monkey,7,True,STL10,test,33,monkey_000034.jpg
5035,data/images/stl10/test/truck/truck_000035.jpg,truck,9,True,STL10,test,34,truck_000035.jpg
5036,data/images/stl10/test/car/car_000036.jpg,car,2,True,STL10,test,35,car_000036.jpg
