id,image_path,label,label_id,is_labeled,dataset,split,source_index,filename
1,data/images/stl10/train/bird/bird_000001.jpg,bird,1,True,STL10,train,0,bird_000001.jpg
2,data/images/stl10/train/dog/dog_000002.jpg,dog,5,True,STL10,train,1,dog_000002.jpg
3,data/images/stl10/train/bird/bird_000003.jpg,bird,1,True,STL10,train,2,bird_000003.jpg
4,data/images/stl10/train/horse/horse_000004.jpg,horse,6,True,STL10,train,3,horse_000004.jpg
5,data/images/stl10/train/cat/cat_000005.jpg,cat,3,True,STL10,train,4,cat_000005.jpg
6,data/images/stl10/train/truck/truck_000006.jpg,truck,9,True,STL10,train,5,truck_000006.jpg
7,data/images/stl10/train/monkey/monkey_000007.jpg,monkey,7,True,STL10,train,6,monkey_000007.jpg
8,data/images/stl10/train/deer/deer_000008.jpg,deer,4,True,STL10,train,7,deer_000008.jpg
9,data/images/stl10/train/dog/dog_000009.jpg,dog,5,True,STL10,train,8,dog_000009.jpg
10,data/images/stl10/train/ship/ship_000010.jpg,ship,8,True,STL10,train,9,ship_000010.jpg
11,data/images/stl10/train/airplane/airplane_000011.jpg,airplane,0,True,STL10,train,10,airplane_000011.jpg
12,data/images/stl10/train/horse/horse_000012.jpg,horse,6,True,STL10,train,11,horse_000012.jpg
13,data/images/stl10/train/airplane/airplane_000013.jpg,airplane,0,True,STL10,train,12,airplane_000013.jpg
14,data/images/stl10/train/ship/ship_000014.jpg,ship,8,True,STL10,train,13,ship_000014.jpg
15,data/images/stl10/train/monkey/monkey_000015.jpg,monkey,7,True,STL10,train,14,monkey_000015.jpg
16,data/images/stl10/train/horse/horse_000016.jpg,horse,6,True,STL10,train,15,horse_000016.jpg
17,data/images/stl10/train/deer/deer_000017.jpg,deer,4,True,STL10,train,16,deer_000017.jpg
18,data/images/stl10/train/horse/horse_000018.jpg,horse,6,True,STL10,train,17,horse_000018.jpg
19,data/images/stl10/train/car/car_000019.jpg,car,2,True,STL10,train,18,car_000019.jpg
20,data/images/stl10/train/car/car_000020.jpg,car,2,True,STL10,train,19,car_000020.jpg
21,data/images/stl10/train/bird/bird_000021.jpg,bird,1,True,STL10,train,20,bird_000021.jpg
22,data/images/stl10/train/bird/bird_000022.jpg,bird,1,True,STL10,train,21,bird_000022.jpg
23,data/images/stl10/train/horse/horse_000023.jpg,horse,6,True,STL10,train,22,horse_000023.jpg
24,data/images/stl10/train/car/car_000024.jpg,car,2,True,STL10,train,23,car_000024.jpg
25,data/images/stl10/train/bird/bird_000025.jpg,bird,1,True,STL10,train,24,bird_000025.jpg
26,data/images/stl10/train/ship/ship_000026.jpg,ship,8,True,STL10,train,25,ship_000026.jpg
27,data/images/stl10/train/dog/dog_000027.jpg,dog,5,True,STL10,train,26,dog_000027.jpg
28,data/images/stl10/train/bird/bird_000028.jpg,bird,1,True,STL10,train,27,bird_000028.jpg
29,data/images/stl10/train/dog/dog_000029.jpg,dog,5,True,STL10,train,28,dog_000029.jpg
30,data/images/stl10/train/dog/dog_000030.jpg,dog,5,True,STL10,train,29,dog_000030.jpg
31,data/images/stl10/train/airplane/airplane_000031.jpg,airplane,0,True,STL10,train,30,airplane_000031.jpg
32,data/images/stl10/train/airplane/airplane_000032.jpg,airplane,0,True,STL10,train,31,airplane_000032.jpg
33,data/images/stl10/train/airplane/airplane_000033.jpg,airplane,0,True,STL10,train,32,airplane_000033.jpg
34,data/images/stl10/train/bird/bird_000034.jpg,bird,1,True,STL10,train,33,bird_000034.jpg
35,data/images/stl10/train/cat/cat_000035.jpg,cat,3,True,STL10,train,34,cat_000035.jpg
36,data/images/stl10/train/horse/horse_000036.jpg,horse,6,True,STL10,train,35,horse_000036.jpg
37,data/images/stl10/train/monkey/monkey_000037.jpg,monkey,7,True,STL10,train,36,monkey_000037.jpg
38,data/images/stl10/train/car/car_000038.jpg,car,2,True,STL10,train,37,car_000038.jpg
39,data/images/stl10/train/bird/bird_000039.jpg,bird,1,True,STL10,train,38,bird_000039.jpg
40,data/images/stl10/train/cat/cat_000040.jpg,cat,3,True,STL10,train,39,cat_000040.jpg
41,data/images/stl10/train/bird/bird_000041.jpg,bird,1,True,STL10,train,40,bird_000041.jpg
42,data/images/stl10/train/horse/horse_000042.jpg,horse,6,True,STL10,train,41,horse_000042.jpg
43,data/images/stl10/train/bird/bird_000043.jpg,bird,1,True,STL10,train,42,bird_000043.jpg
44,data/images/stl10/train/cat/cat_000044.jpg,cat,3,True,STL10,train,43,cat_000044.jpg
45,data/images/stl10/train/monkey/monkey_000045.jpg,monkey,7,True,STL10,train,44,monkey_000045.jpg
46,data/images/stl10/train/deer/deer_000046.jpg,deer,4,True,STL10,train,45,deer_000046.jpg
47,data/images/stl10/train/cat/cat_000047.jpg,cat,3,True,STL10,train,46,cat_000047.jpg
48,data/images/stl10/train/airplane/airplane_000048.jpg,airplane,0,True,STL10,train,47,airplane_000048.jpg
49,data/images/stl10/train/horse/horse_000049.jpg,horse,6,True,STL10,train,48,horse_000049.jpg
50,data/images/stl10/train/monkey/monkey_000050.jpg,monkey,7,True,STL10,train,49,monkey_000050.jpg
51,data/images/stl10/train/horse/horse_000051.jpg,horse,6,True,STL10,train,50,horse_000051.jpg
52,data/images/stl10/train/dog/dog_000052.jpg,dog,5,True,STL10,train,51,dog_000052.jpg
53,data/images/stl10/train/ship/ship_000053.jpg,ship,8,True,STL10,train,52,ship_000053.jpg
54,data/images/stl10/train/airplane/airplane_000054.jpg,airplane,0,True,STL10,train,53,airplane_000054.jpg
55,data/images/stl10/train/horse/horse_000055.jpg,horse,6,True,STL10,train,54,horse_000055.jpg
56,data/images/stl10/train/bird/bird_000056.jpg,bird,1,True,STL10,train,55,bird_000056.jpg
57,data/images/stl10/train/cat/cat_000057.jpg,cat,3,True,STL10,train,56,cat_000057.jpg
