id,image_path,label,label_id,split,is_labeled,embedding_index,status
1,data/images/stl10/train/bird/bird_000001.jpg,bird,1,train,True,0,ok
2,data/images/stl10/train/dog/dog_000002.jpg,dog,5,train,True,1,ok
3,data/images/stl10/train/bird/bird_000003.jpg,bird,1,train,True,2,ok
4,data/images/stl10/train/horse/horse_000004.jpg,horse,6,train,True,3,ok
5,data/images/stl10/train/cat/cat_000005.jpg,cat,3,train,True,4,ok
6,data/images/stl10/train/truck/truck_000006.jpg,truck,9,train,True,5,ok
7,data/images/stl10/train/monkey/monkey_000007.jpg,monkey,7,train,True,6,ok
8,data/images/stl10/train/deer/deer_000008.jpg,deer,4,train,True,7,ok
9,data/images/stl10/train/dog/dog_000009.jpg,dog,5,train,True,8,ok
10,data/images/stl10/train/ship/ship_000010.jpg,ship,8,train,True,9,ok
11,data/images/stl10/train/airplane/airplane_000011.jpg,airplane,0,train,True,10,ok
12,data/images/stl10/train/horse/horse_000012.jpg,horse,6,train,True,11,ok
13,data/images/stl10/train/airplane/airplane_000013.jpg,airplane,0,train,True,12,ok
14,data/images/stl10/train/ship/ship_000014.jpg,ship,8,train,True,13,ok
15,data/images/stl10/train/monkey/monkey_000015.jpg,monkey,7,train,True,14,ok
16,data/images/stl10/train/horse/horse_000016.jpg,horse,6,train,True,15,ok
17,data/images/stl10/train/deer/deer_000017.jpg,deer,4,train,True,16,ok
18,data/images/stl10/train/horse/horse_000018.jpg,horse,6,train,True,17,ok
19,data/images/stl10/train/car/car_000019.jpg,car,2,train,True,18,ok
20,data/images/stl10/train/car/car_000020.jpg,car,2,train,True,19,ok
21,data/images/stl10/train/bird/bird_000021.jpg,bird,1,train,True,20,ok
22,data/images/stl10/train/bird/bird_000022.jpg,bird,1,train,True,21,ok
23,data/images/stl10/train/horse/horse_000023.jpg,horse,6,train,True,22,ok
24,data/images/stl10/train/car/car_000024.jpg,car,2,train,True,23,ok
25,data/images/stl10/train/bird/bird_000025.jpg,bird,1,train,True,24,ok
26,data/images/stl10/train/ship/ship_000026.jpg,ship,8,train,True,25,ok
27,data/images/stl10/train/dog/dog_000027.jpg,dog,5,train,True,26,ok
28,data/images/stl10/train/bird/bird_000028.jpg,bird,1,train,True,27,ok
29,data/images/stl10/train/dog/dog_000029.jpg,dog,5,train,True,28,ok
30,data/images/stl10/train/dog/dog_000030.jpg,dog,5,train,True,29,ok
31,data/images/stl10/train/airplane/airplane_000031.jpg,airplane,0,train,True,30,ok
32,data/images/stl10/train/airplane/airplane_000032.jpg,airplane,0,train,True,31,ok
33,data/images/stl10/train/airplane/airplane_000033.jpg,airplane,0,train,True,32,ok
34,data/images/stl10/train/bird/bird_000034.jpg,bird,1,train,True,33,ok
35,data/images/stl10/train/cat/cat_000035.jpg,cat,3,train,True,34,ok
36,data/images/stl10/train/horse/horse_000036.jpg,horse,6,train,True,35,ok
37,data/images/stl10/train/monkey/monkey_000037.jpg,monkey,7,train,True,36,ok
38,data/images/stl10/train/car/car_000038.jpg,car,2,train,True,37,ok
39,data/images/stl10/train/bird/bird_000039.jpg,bird,1,train,True,38,ok
40,data/images/stl10/train/cat/cat_000040.jpg,cat,3,train,True,39,ok
41,data/images/stl10/train/bird/bird_000041.jpg,bird,1,train,True,40,ok
42,data/images/stl10/train/horse/horse_000042.jpg,horse,6,train,True,41,ok
43,data/images/stl10/train/bird/bird_000043.jpg,bird,1,train,True,42,ok
44,data/images/stl10/train/cat/cat_000044.jpg,cat,3,train,True,43,ok
45,data/images/stl10/train/monkey/monkey_000045.jpg,monkey,7,train,True,44,ok
46,data/images/stl10/train/deer/deer_000046.jpg,deer,4,train,True,45,ok
47,data/images/stl10/train/cat/cat_000047.jpg,cat,3,train,True,46,ok
48,data/images/stl10/train/airplane/airplane_000048.jpg,airplane,0,train,True,47,ok
49,data/images/stl10/train/horse/horse_000049.jpg,horse,6,train,True,48,ok
50,data/images/stl10/train/monkey/monkey_000050.jpg,monkey,7,train,True,49,ok
51,data/images/stl10/train/horse/horse_000051.jpg,horse,6,train,True,50,ok
